-4.000,1.4488279
-3.900,1.3972827
-3.800,1.3149332
-3.700,1.2014992
-3.600,1.0568969
-3.500,0.8812104
-3.400,0.6746535
-3.300,0.4375177
-3.200,0.1701036
-3.100,-0.1273733
-3.000,-0.4549102
-2.900,-0.8128982
-2.800,-1.2023821
-2.700,-1.6254495
-2.600,-2.0858345
-2.500,-2.5898950
-2.400,-3.1482809
-2.300,-3.7789515
-2.200,-4.5130457
-2.100,-5.4073747
-2.000,-6.5743390
-1.900,-8.2663208
-1.800,-11.1809206
-1.700,-18.1835368
-1.600,-71.4204165
-1.500,25.1017885
-1.400,8.3705401
-1.300,3.8783225
-1.200,1.7430615
-1.100,0.4797571
-1.000,-0.3553231
-0.900,-0.9409897
-0.800,-1.3631628
-0.700,-1.6683721
-0.600,-1.8841911
-0.500,-2.0282198
-0.400,-2.1124610
-0.300,-2.1456255
-0.200,-2.1344229
-0.100,-2.0843196